Emoji,Significado
💫,[emojisímbolodemareo]
🧡,[emojicorazónnaranja]
🍾,[emojibotelladescorchada]
💎,[emojipiedrapreciosa]
👆,[emojidorsodemanocondedoíndicehaciaarriba]
🎮,[emojimandodevideoconsola]
🍃,[emojihojasrevoloteandoalviento]
🌼,[emojiflor]
🌹,[emojirosa]
🌳,[emojiárboldehojacaduca]
🌝,[emojilunallenaconcara]
🐦,[emojipájaro]
🇻,[emojiV]
⬅,[emojiflechahacialaizquierda]
🐥,[emojipollitodefrente]
✔,[emojimarcadeverificaciónnegra]
⚡,[emojialtovoltaje]
⚫,[emojicírculonegro]
🐢,[emojitortuga]
🐐,[emojicabra]
🐉,[emojidragón]
😚,[emojicarabesandoconlosojoscerrados]
😛,[emojicarasacandolalengua]
☄,[emojicometa]
😟,[emojicarapreocupada]
🦈,[emojitiburón]
🍺,[emojijarradecerveza]
🦄,[emojicaradeunicornio]
♻,[emojisímbolodereciclaje]
🌻,[emojigirasol]
🌺,[emojiflordehibisco]
🌷,[emojitulipán]
🤪,[emojicaradeloco]
⚪,[emojicírculoblanco]
🌞,[emojisolconcara]
🥚,[emojihuevo]
🌐,[emojigloboterráqueoconmeridianos]
🚛,[emojicamiónarticulado]
🚻,[emojiseñaldeaseos]
🥂,[emojicopasbrindando]
🤝,[emojiapretóndemanos]
🤟,[emojigestodetequiero]
⭐,[emojiestrellablancamediana]
⬆,[emojiflechahaciaarriba]
✈,[emojiavión]
❌,[emojimarcadecruz]
🤑,[emojicaraconlenguadedinero]
💩,[emojicacaconojos]
🔞,[emojiprohibidoparamenosde18años]
👈,[emojidorsodemanocondedo´´indicehacialaizquierda]
💰,[emojibolsadedinero]
💲,[emojisímbolodedólar]
💳,[emojitarjetadecrédito]
💵,[emojibilletededólar]
💡,[emojibombilla]
📐,[emojiescuadra]
📥,[emojibandejadeentrada]
👽,[emojialienígena]
🕊,[emojipaloma]
🗣,[emojicabezaparlante]
👑,[emojicorona]
👋,[emojimanosaludando]
👊,[emojipuñocerrado]
⌚,[emojireloj]
👁,[emojiojo]
🐸,[emojicaraderana]
🐽,[emojinarizdecerdo]
🐼,[emojicaradeosopanda]
🏫,[emojiedificiodecolegio]
📞,[emojiauriculardeteléfono]
📎,[emojiclip]
❄,[emojicopodenieve]
🐏,[emojicarnero]
❗,[emojiexclamaciónroja]
📖,[emojilibroabierto]
📚,[emojilibros]
⭕,[emojicírculorojo]
✋,[emojimanolevantada]
🅱,[emojigruposanguíneoB]
🤠,[emojicaraconsombrerodevaquero]
🆘,[emojisímbolodesocorro]
💋,[emojimarcadebeso]
🇧,[emojiB]
🇨,[emojiC]
🇳,[emojiN]
📈,[emojigráficadeevoluciónascendente]
🤯,[emojicabezaexplotando]
📅,[emojicalendario]
🥴,[emojicaradegrogui]
💣,[emojibomba]
🧏,[emojipersonasorda]
☢,[emojiradiactivo]
🦌,[emojiciervo]
🐤,[emojipollito]
🦁,[emojicaradeleón]
🐻,[emojicaradeoso]
⚖,[emojibalanza]
😖,[emojicaradefrustración]
💴,[emojibilletedeyen]
🐖,[emojicerdo]
💸,[emojibilleteconalas]
🥇,[emojimedalladeoro]
🥃,[emojivasodewhisky]
📄,[emojipáginahaciaarriba]
⚽,[emojibalóndefútbol]
🇷,[emojiR]
👻,[emojifantasma]
🏅,[emojimedalladeportiva]
🌅,[emojiamanecer]
😶,[emojicarasinboca]
🍓,[emojifresa]
🍔,[emojihamburguesa]
🍪,[emojigalleta]
🍭,[emojipiruleta]
🍴,[emojitenedorycuchillo]
🍸,[emojicopadecóctel]
👄,[emojiboca]
💥,[emojicolisión]
🎄,[emojiárboldeNavidad]
🎇,[emojibengala]
😧,[emojicaraangustiada]
🎏,[emojibanderíndecarpas]
😤,[emojicararesoplando]
🏳,[emojibanderablanca]
🎵,[emojinotamusical]
🏀,[emojibalóndebaloncesto]
😷,[emojicaraconmascarillamédica]
😹,[emojicaradegatollorandoderisa]
🌿,[emojihierba]
👴,[emojianciano]
🛍,[emojibolsasdecompras]
🔊,[emojialtavozavolumenalto]
🚫,[emojiprohibido]
🌍,[emojigloboterráqueomostrandoEuropayÁfrica]
👶,[emojibebé]
🚀,[emojicohete]
🐶,[emojicaradeperro]
👣,[emojihuellasdepies]
😾,[emojicaradegatoenfadado]
🌲,[emojiárboldehojaperenne]
🔻,[emojitriángulorojohaciaabajo]
🐈,[emojigato]
🕯,[emojivela]
🕶,[emojigafasdesol]
👞,[emojizapatodehombre]
😙,[emojicarabesandoconojossonrientes]
🐴,[emojicaradecaballo]
